time_mt5,open,high,low,close,direction
2026.08.20 14:00:00,1.16969,1.16981,1.16827,1.16845,
2026.08.20 15:00:00,1.16846,1.16902,1.16778,1.16886,BEAR
2026.08.20 16:00:00,1.16888,1.16947,1.16749,1.16753,
2026.08.20 17:00:00,1.16752,1.16852,1.16708,1.16829,
2026.08.20 18:00:00,1.16829,1.16937,1.16722,1.16790,
2026.08.20 19:00:00,1.16791,1.16799,1.16692,1.16732,
2026.08.20 20:00:00,1.16733,1.16751,1.16701,1.16745,
2026.08.20 21:00:00,1.16746,1.16765,1.16707,1.16761,
2026.08.20 22:00:00,1.16760,1.16784,1.16732,1.16780,BULL
2026.08.20 23:00:00,1.16779,1.16798,1.16759,1.16779,
2026.08.21 00:00:00,1.16781,1.16792,1.16757,1.16764,
2026.08.21 01:00:00,1.16761,1.16843,1.16761,1.16833,
2026.08.21 02:00:00,1.16833,1.16880,1.16832,1.16875,
2026.08.21 03:00:00,1.16876,1.16898,1.16828,1.16832,
2026.08.21 04:00:00,1.16833,1.16930,1.16828,1.16904,
2026.08.21 05:00:00,1.16904,1.17008,1.16879,1.16959,
2026.08.21 06:00:00,1.16959,1.16983,1.16915,1.16942,
2026.08.21 07:00:00,1.16942,1.16954,1.16910,1.16931,
2026.08.21 08:00:00,1.16931,1.16993,1.16901,1.16979,
2026.08.21 09:00:00,1.16980,1.16983,1.16902,1.16980,
2026.08.21 10:00:00,1.16979,1.17004,1.16867,1.16908,
2026.08.21 11:00:00,1.16908,1.17063,1.16892,1.17053,
2026.08.21 12:00:00,1.17052,1.17115,1.17000,1.17001,
2026.08.21 13:00:00,1.17002,1.17106,1.16990,1.17020,
2026.08.21 14:00:00,1.17019,1.17097,1.16961,1.17007,
2026.08.21 15:00:00,1.17008,1.17031,1.16851,1.16905,BEAR
2026.08.21 16:00:00,1.16906,1.16912,1.16787,1.16833,
2026.08.21 17:00:00,1.16832,1.16833,1.16687,1.16730,
2026.08.21 18:00:00,1.16728,1.16838,1.16705,1.16830,
2026.08.21 19:00:00,1.16833,1.16876,1.16797,1.16818,
2026.08.21 20:00:00,1.16818,1.16829,1.16772,1.16803,BULL
2026.08.21 21:00:00,1.16804,1.16840,1.16800,1.16827,
2026.08.21 22:00:00,1.16828,1.16831,1.16776,1.16788,BEAR
2026.08.21 23:00:00,1.16787,1.16792,1.16741,1.16750,
2026.08.24 00:00:00,1.16757,1.16785,1.16741,1.16757,
2026.08.24 01:00:00,1.16770,1.16799,1.16724,1.16756,
2026.08.24 02:00:00,1.16757,1.16825,1.16745,1.16824,BULL
2026.08.24 03:00:00,1.16823,1.16871,1.16820,1.16852,
2026.08.24 04:00:00,1.16851,1.16864,1.16765,1.16818,
2026.08.24 05:00:00,1.16817,1.16848,1.16794,1.16819,
2026.08.24 06:00:00,1.16819,1.16821,1.16779,1.16797,BEAR
2026.08.24 07:00:00,1.16797,1.16826,1.16752,1.16825,
2026.08.24 08:00:00,1.16826,1.16830,1.16758,1.16805,
2026.08.24 09:00:00,1.16803,1.16808,1.16740,1.16777,
2026.08.24 10:00:00,1.16776,1.16805,1.16646,1.16671,
2026.08.24 11:00:00,1.16672,1.16683,1.16605,1.16631,
2026.08.24 12:00:00,1.16630,1.16670,1.16602,1.16644,
2026.08.24 13:00:00,1.16643,1.16669,1.16619,1.16643,
2026.08.24 14:00:00,1.16641,1.16735,1.16628,1.16669,BULL
2026.08.24 15:00:00,1.16668,1.16737,1.16619,1.16692,
2026.08.24 16:00:00,1.16691,1.16747,1.16637,1.16651,
2026.08.24 17:00:00,1.16650,1.16719,1.16630,1.16655,
2026.08.24 18:00:00,1.16655,1.16724,1.16636,1.16646,BEAR
2026.08.24 19:00:00,1.16645,1.16695,1.16627,1.16649,
2026.08.24 20:00:00,1.16650,1.16667,1.16552,1.16593,
2026.08.24 21:00:00,1.16594,1.16654,1.16571,1.16640,
2026.08.24 22:00:00,1.16639,1.16639,1.16592,1.16613,
2026.08.24 23:00:00,1.16613,1.16643,1.16604,1.16635,BULL
2026.08.25 00:00:00,1.16624,1.16652,1.16610,1.16629,
2026.08.25 01:00:00,1.16609,1.16652,1.16608,1.16645,
2026.08.25 02:00:00,1.16645,1.16685,1.16640,1.16680,
2026.08.25 03:00:00,1.16680,1.16709,1.16671,1.16687,
2026.08.25 04:00:00,1.16687,1.16688,1.16617,1.16631,
2026.08.25 05:00:00,1.16631,1.16648,1.16588,1.16605,BEAR
2026.08.25 06:00:00,1.16605,1.16623,1.16585,1.16604,
2026.08.25 07:00:00,1.16603,1.16605,1.16548,1.16558,
2026.08.25 08:00:00,1.16558,1.16567,1.16529,1.16536,
2026.08.25 09:00:00,1.16534,1.16590,1.16511,1.16527,
2026.08.25 10:00:00,1.16527,1.16630,1.16525,1.16586,
2026.08.25 11:00:00,1.16588,1.16678,1.16575,1.16674,BULL
2026.08.25 12:00:00,1.16672,1.16738,1.16659,1.16681,
