time_utc,tv_signal,mt5_signal,status,tv_recomputed,tv_rule_check,tv_open,tv_high,tv_low,tv_close,mt5_open,mt5_high,mt5_low,mt5_close,close_abs_diff
2026-08-06T01:00:00+00:00,,,AGREE,,AGREE,1.15564,1.15576,1.15536,1.1555,1.15564,1.15574,1.15536,1.15549,1.0000000000065512e-05
2026-08-06T02:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.1555,1.1558,1.15526,1.15536,1.1555,1.1558,1.15524,1.15537,1.0000000000065512e-05
2026-08-06T03:00:00+00:00,,,AGREE,,AGREE,1.15537,1.15539,1.15469,1.15488,1.15537,1.15539,1.15467,1.15487,9.999999999843467e-06
2026-08-06T04:00:00+00:00,,,AGREE,,AGREE,1.15488,1.15496,1.1547,1.15491,1.15488,1.15497,1.1547,1.15491,0.0
2026-08-06T05:00:00+00:00,,,AGREE,,AGREE,1.15492,1.15505,1.15446,1.15494,1.1549,1.15505,1.15445,1.15493,1.0000000000065512e-05
2026-08-06T06:00:00+00:00,,,AGREE,,AGREE,1.15493,1.15516,1.15431,1.15448,1.15494,1.15517,1.1543,1.15447,9.999999999843467e-06
2026-08-06T07:00:00+00:00,,,AGREE,,AGREE,1.15449,1.15466,1.15412,1.15442,1.15448,1.15466,1.1541,1.15441,1.0000000000065512e-05
2026-08-06T08:00:00+00:00,,,AGREE,,AGREE,1.15444,1.15452,1.1539,1.15433,1.15442,1.15451,1.15389,1.15432,1.0000000000065512e-05
2026-08-06T09:00:00+00:00,,,AGREE,,AGREE,1.15432,1.1544,1.15365,1.15385,1.15431,1.1544,1.15364,1.15385,0.0
2026-08-06T10:00:00+00:00,,,AGREE,,AGREE,1.15386,1.15428,1.15365,1.1541,1.15383,1.15428,1.15364,1.15409,9.999999999843467e-06
2026-08-06T11:00:00+00:00,,,AGREE,,AGREE,1.15411,1.15469,1.15377,1.15452,1.1541,1.15468,1.15376,1.15451,1.0000000000065512e-05
2026-08-06T12:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15452,1.15456,1.15368,1.15386,1.15451,1.15455,1.15367,1.15387,9.999999999843467e-06
2026-08-06T13:00:00+00:00,,,AGREE,,AGREE,1.15388,1.1545,1.15356,1.1543,1.15386,1.1545,1.15356,1.15428,2.0000000000131024e-05
2026-08-06T14:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.1543,1.15442,1.15305,1.15352,1.15429,1.15442,1.15305,1.15352,0.0
2026-08-06T15:00:00+00:00,,,AGREE,,AGREE,1.15352,1.15358,1.1519,1.15207,1.15353,1.15358,1.1519,1.15208,1.0000000000065512e-05
2026-08-06T16:00:00+00:00,,,AGREE,,AGREE,1.15208,1.15228,1.15147,1.15206,1.15208,1.15227,1.15147,1.15205,1.0000000000065512e-05
2026-08-06T17:00:00+00:00,,,AGREE,,AGREE,1.15207,1.15229,1.15176,1.15228,1.15205,1.15228,1.15174,1.15228,0.0
